value,lots,source,keep
Bourgogne,28545,other,
Pauillac,14360,other,
Bordeaux,8909,other,
Pomerol,8448,other,
Chablis,8023,other,
Chateauneuf-du-Pape,6672,other,
Sauternes,6392,other,
Margaux,6331,other,
Chambolle-Musigny,6103,other,
Chassagne-Montrachet,5855,other,
Haut-Medoc,3935,other,
Graves,2925,other,
Cote-Rotie,2841,other,
Hermitage,2718,other,
Beaune,2660,other,
Cotes-du-Rhone,2398,other,
Clos de Vougeot,2370,other,
Corton,2308,other,
Pessac-Leognan,2056,other,
Charmes-Chambertin,1898,other,
Chambertin,1674,other,
Corton-Charlemagne,1644,other,
Cornas,1477,other,
Côte-Rôtie,1446,idealwine,
Saint-Émilion Grand Cru,1431,other,
Bonnes-Mares,1387,other,
Crozes-Hermitage,1264,other,
Clos de la Roche,1206,other,
Chambertin-Clos de Beze,1101,other,
Châteauneuf-du-Pape,1087,idealwine,
Medoc,1054,other,
Bourgogne Aligoté,873,idealwine,
Côtes-du-Rhône,771,idealwine,
Aloxe-Corton,705,other,
Gigondas,702,other,
Vin de France,653,other,
Saint-Joseph,641,other,
Batard-Montrachet,615,other,
Auxey-Duresses,591,other,
Clos Saint-Denis,569,other,
Cotes-du-Rhone Villages,566,other,
Condrieu,564,other,
Pessac-Léognan,564,other,
Chevalier-Montrachet,557,other,
Saint-Emilion,512,other,
Bâtard-Montrachet,498,idealwine,
Lalande-de-Pomerol,381,other,
Fronsac,373,other,
Saint-Estèphe,370,other,
Clos Vougeot,355,other,
Chambertin Clos de Bèze,352,idealwine,
Saint-Julien,324,other,
Haut Médoc,301,other,
Chapelle-Chambertin,270,other,
Haut-Médoc,250,other,
Saint-Émilion,239,other,
Bienvenues-Bâtard-Montrachet,228,idealwine,
Cotes de Bourg,222,other,
Bourgogne Côte-d'Or,216,idealwine,
Barsac,214,other,
Lirac,203,other,
Bordeaux Supérieur,202,other,
Bourgogne Côtes d'Auxerre,192,idealwine,
Bordeaux Blanc,190,other,
Bordeaux Superieur,164,other,
Listrac,161,other,
Moulis-en-Médoc,158,other,
Bienvenues-Batard-Montrachet,151,other,
Castillon Côtes de Bordeaux,150,other,
Vacqueyras,143,other,
Canon-Fronsac,141,other,
Muscat de Beaumes-de-Venise,130,other,
Médoc,123,other,
Corton-Bressandes,122,other,
Chorey-lès-Beaune,118,idealwine,
Moulis-en-Medoc,115,other,
Bourgogne Aligote,113,other,
Côtes de Bourg,107,other,
Bourgogne Cote-D'Or,104,other,
Bourgogne Passetoutgrain,102,other,
Clos de Tart,100,other,
Rasteau,85,other,
Clos des Lambrays,81,other,
Corton-Renardes,71,other,
Tavel,71,other,
Premieres Cotes de Bordeaux,65,other,
Montagne-Saint-Émilion,62,other,
Cairanne,59,other,
Bourgogne / Côte-d’Or,57,other,
Premières Côtes de Bordeaux,56,other,
Bourgogne Grand Ordinaire,54,idealwine,
Loupiac,51,other,
Chorey-les-Beaune,45,other,
Côtes du Vivarais,44,idealwine,
Saint Emilion,44,other,
Vin de Pays de L'Ardeche,44,other,
Bourgogne Pinot Noir,43,other,
Sainte-Foy-Bordeaux,42,other,
Bouzeron,41,idealwine,
Francs Côtes de Bordeaux,35,other,
Blaye Côtes de Bordeaux,34,other,
Bordeaux superieur,34,other,
Côtes-du-Rhône-Villages,34,idealwine,
IGP Collines Rhodaniennes,33,other,
Puisseguin Saint-Émilion,33,idealwine,
Collines Rhodaniennes,31,other,
Blagny,28,other,
Vaucluse,28,idealwine,
Vin de France (anciennement Côtes-du-Rhône),28,idealwine,
Bourgogne Montrecul,26,idealwine,
Corton-Perrieres,26,other,
Côtes du Rhône,25,idealwine,
Saint-Péray,25,idealwine,
Lalande de Pomerol,24,other,
Saint-Emilion Grand Cru,23,other,
Principauté d'Orange,22,idealwine,
Blaye - Côtes de Bordeaux,21,other,
Bourgogne ,20,idealwine,
Corton-Languettes,20,other,
Montagne Saint-Émilion,20,other,
Muscat de Beaumes de Venise,20,other,
Saint-Georges-Saint-Émilion,19,other,
Corton Les Maréchaudes,18,idealwine,
Pessac -Léognan,17,other,
