value,lots,source,keep
1st Classified,210213,idealwine,
Classified,155271,idealwine,
GRAND_CRU,7903,idealwine,
PREMIER_CRU,6998,idealwine,
grand cru classé,3002,other,
grand cru,1673,other,
"Pauillac, 1er Grand Cru Classé",1639,other,
cru bourgeois,1182,other,
"Pauillac, 5ème Grand Cru Classé",1149,other,
"Saint-Julien, 2ème Grand Cru Classé",1028,other,
"Saint-Émilion, 1er Grand Cru Classé B",909,other,
"Margaux, 3ème Grand Cru Classé",754,other,
grand cru exceptionnel,660,other,
"Saint-Émilion, 1er Grand Cru Classé A",618,other,
"Saint-Estèphe, 2ème Grand Cru Classé",571,other,
"Saint-Émilion, Grand Cru Classé",554,other,
"Pauillac, 2ème Grand Cru Classé",422,other,
"Pessac-Léognan, 1er Grand Cru Classé",413,other,
"Médoc, Cru Bourgeois",407,other,
CRU_BOURGEOIS,382,idealwine,
GRAND_CRU_CLASSE,345,idealwine,
"Margaux, 1er Grand Cru Classé",344,other,
"Moulis-en-Médoc, Cru Bourgeois",336,other,
"Saint-Julien, 4ème Grand Cru Classé",317,other,
"Haut-Médoc, Cru Bourgeois",300,other,
"Margaux, 5ème Grand Cru Classé",260,other,
"Sauternes, 1er Grand Cru Classé",260,other,
"Margaux, 2ème Grand Cru Classé",252,other,
"Haut-Médoc, 5ème Grand Cru Classé",251,other,
"Sauternes, 1er Grand Cru Supérieur",207,other,
SECOND_VIN,203,idealwine,
"Saint-Estèphe, Cru Bourgeois",197,other,
grand cru classé (rouge),185,other,
"Saint-Estèphe, 3ème Grand Cru Classé",183,other,
DEUXIEME_GRAND_CRU_CLASSE,179,idealwine,
CINQUIEME_GRAND_CRU_CLASSE,165,idealwine,
"Margaux, Cru Bourgeois",165,other,
grand cru classe,162,other,
"Margaux, 4ème Grand Cru Classé",155,other,
PREMIER_GRAND_CRU_CLASSE_B,154,idealwine,
TROISIEME_GRAND_CRU_CLASSE,144,idealwine,
Chevalier-Montrachet Grand Cru,143,other,
Clos de la Roche Grand Cru,136,other,
1er grand cru classé,134,other,
CRU_CLASSE_DE_GRAVES,132,idealwine,
"Sauternes, 1er Grand Cru Classé Supérieur",119,other,
"Saint-Julien, 3ème Grand Cru Classé",110,other,
PREMIER_GRAND_CRU_CLASSE,106,idealwine,
1er Cru,105,other,
PREMIER_GRAND_CRU_CLASSE_A,99,idealwine,
"Haut-Médoc, 3ème Grand Cru Classé",94,other,
"Pauillac, Cru Bourgeois",91,other,
1er Cru Classe Aile D'Argent Blanc,87,other,
1ER CRU CLASSE LE DAUPHIN DE GUIRAUD,83,other,
"Sauternes, 2ème Grand Cru Classé",83,other,
QUATRIEME_GRAND_CRU_CLASSE,80,idealwine,
cru bourgeois exceptionnel,79,other,
1ER CRU CLASSE Le Petit Mouton,78,other,
Corton-Charlemagne Grand Cru,70,other,
cru bourgeois exceptionnal,67,other,
"Saint-Estèphe, 4ème Grand Cru Classé",59,other,
Corton Grand Cru,57,other,
"Saint-Émlion, 1er Grand Cru Classé B",57,other,
1er grand cru classe,56,other,
Clos de Vougeot Grand Cru,55,other,
Richebourg Grand Cru,53,other,
cru classe,53,other,
"Saint-Émilion, 1er Grand Cru Classé",50,other,
Grand Cru Richebourg,47,other,
"Haut-Médoc, 4ème Grand Cru Classé",46,other,
"Pauillac, 4ème Grand Cru Classé",44,other,
"Barsac, 2ème Grand Cru Classé",38,other,
"Saint-Julien, Cru Bourgeois",38,other,
"Barsac, 1er Grand Cru Classé",37,other,
"Listrac-Médoc, Cru Bourgeois",34,other,
Meursault-Charmes 1er Cru,30,other,
Grand Cru Clos de Vougeot,29,other,
Grand Cru,28,other,
"Sauternes, 1er Cru Supérieur",28,other,
1er Cru Gevrey-Chambertin,27,other,
Chablis 1er Cru,27,other,
Clos de Tart Grand Cru,27,other,
Pommard-Pezerolles 1er Cru,27,other,
Saint-Émilion Grand Cru Classé,27,other,
St-Emilion Grand Cru,27,other,
Volnay 1er Cru Caillerets,26,other,
Grand cru,25,other,
Saint-Émilion 1er Grand Cru Classé A,25,other,
grand cru classé (blanc),25,other,
Grand Cru Blanc de Blancs,24,other,
Grand Cru Corton-Bressandes,24,other,
5me cru classe,23,other,
1er cru,22,other,
Chambertin-Clos de Beze Grand Cru,22,other,
1er Echezeaux,21,other,
grand cru classé blanc,21,other,
"Saint-Émilion, Grand Cru Classé A",20,other,
grand cru (Mähler-Besse),20,other,
2me cru classe,19,other,
"Listrac-en-Médoc, Cru Bourgeois",19,other,
"Moulis-en-Médoc, Cru Bourgeois Exceptionnel",19,other,
"Saint-Emilion, 1er Grand Cru Classe B",18,other,
"Saint-Estèphe, 5ème Grand Cru Classé",18,other,
cru Bourgeois,17,other,
Château Bellevue (Saint-Émilion Grand Cru),16,other,
Corton Rognet Grand Cru,16,other,
Les Demoiselles Grand Cru,16,other,
"Saint-Emilion, 1er Grand Cru Classé B",16,other,
1er grand cru classé (B),15,other,
2ME CRU CLASSE La Reserve de la Leoville-Barton,15,other,
"Margaux, 3ème Grand Cru Classe",15,other,
cru bourgeois superieur,15,other,
grand cru classé rouge,15,other,
1er grand cru classe (B),14,other,
grand cru (Domaines Rothschild),14,other,
grand cru (Michel Rolland),14,other,
cru bourgeois sup.,13,other,
grand cru bourgeois,13,other,
1er Cru Nuits-St-Georges,12,other,
1er grand cru classé (A),12,other,
Batard-Montrachet Grand Cru,12,other,
Grand Cru Montrachet,12,other,
"Paulliac, 2ème Grand Cru Classé",12,other,
Beaune-Greves 1er Cru,11,other,
"Haut-Medoc, 4ème Grand Cru Classé",11,other,
"Haut-Medoc, 5ème Grand Cru Classé",11,other,
Latricieres-Chambertin Grand Cru,11,other,
Saint-Émilion 1er Grand Cru Classé B,10,other,
Echezeaux Grand Cru,9,other,
Meursault 1er Cru Blagny,9,other,
"Paulliac, 5ème Grand Cru Classé",9,other,
"Saint Julien, 4ème Grand Cru Classé",9,other,
cru bourgeois (Mähler-Besse),9,other,
cru bourgeois supérieur,9,other,
grand cru (2,9,other,
Chassagne-Montrachet 1er Cru,8,other,
Chassagne-Montrachet 1er Cru Morgeot Les Fairendes,8,other,
Montrachet Grand Cru,8,other,
Pierre 1er,8,other,
"Saint-Émilion Grand Cru, 2nd wine Ch.Valandraud",8,other,
"Société Civile du Château Angelus, Saint-Émilion Grand Cru",8,other,
grand cru classé (Comte de Neipperg),8,other,
2me Cru Classe Creme de Tete,7,other,
4e grand cru classé,7,other,
Chablis Grand Cru,7,other,
Charlemagne Grand Cru,7,other,
Oger Grand Cru Blanc de Blancs,7,other,
Puligny Montrachet 1er cru Combettes,7,other,
"Saint-Émilion Grand Cru, 2nd wine Ch. Barberousse",7,other,
"Saint-Émilion Grand Cru, 2nd wine Ch. Cheval Blanc",7,other,
Volnay 1er Cru Santenots,7,other,
CRU BOURGEOIS,6,other,
Chambolle-Musigny 1er Cru Combe D'Orveaux,6,other,
Cote de Provence Cru Classe,6,other,
Grand Cru St-Emilion,6,other,
Les Plantes Du Mayne Grand cru,6,other,
"Saint Émilion, Grand Cru Classé",6,other,
"Saint-Emilion, 1er Grand Cru Classé A",6,other,
"Saint-Émillion, 1er Grand Cru Classé B",6,other,
cru bourgeois (6),6,other,
grand cru (Alain Vauthier),6,other,
grand cru (Jean Luc Thunevin),6,other,
CRU BOURGEOIS Grand Vin De Bordeaux,5,other,
En Caillerets Cuvee Amphore 1er Cru,5,other,
Grand Cru Charmes-Chambertin,5,other,
Listrac Cru Bourgeois,5,other,
"Margaux, 5ème Grand Cru Classe",5,other,
"Moulis, Cru Bourgeois",5,other,
"Pessac-Léognan, Cru Classe Blanc",5,other,
"Pessac-Léognan, Grand Cru Classé Rouge",5,other,
Puligny-Montrachet 1er Cru,5,other,
"Saint-Emilion Grand Cru, 2nd wine Ch. Barberousse",5,other,
"Saint-Estèphe, Cru Bourgeois Exceptionnel",5,other,
"Saint-Estéphe, 3ème Grand Cru Classé",5,other,
Saint-Émlion Grand Cru,5,other,
"Sauternes, 1er Cru Classé Supérieur",5,other,
cru bourgeois (Mähler Besse),5,other,
Chablis 1er Cru Fourchaume,4,other,
Grand cru classé,4,other,
Grands-Echezeaux Grand Cru,4,other,
"Haut-Médoc, 2ème Grand Cru Classé",4,other,
"Margaux, 2ème Grand Cru Classe",4,other,
Nuits-St-Georges 1er Cru,4,other,
"Paulliac, 1er Grand Cru Classé",4,other,
"Pessac-Léognan, 1er Grand Crus Classé",4,other,
"Saint-Émilion Grand Cru, 2nd wine Ch. Ausone",4,other,
Saint-Émillion Grand Cru,4,other,
cru bourgeois (2),4,other,
grand cru (Jean-Luc Thunevin),4,other,
grand cru (rouge),4,other,
grand cru classé (1),4,other,
grand cru exceptionel,4,other,
