value,lots,source,keep
1,7233,other,
null,4169,other,
2,3420,other,
5,1640,other,
3,923,other,
Tenuta dell’Ornellaia,896,other,
Antinori,865,other,
"Pessac-Léognan, Cru Classé Rouge",827,other,
Tenuta San Guido,683,other,
4,597,other,
"Marchesi Antinori, Firenze",506,other,
Louis Jadot,467,other,
Domaine Romanée Conti,429,other,
Ramonet,418,other,
Jean-Paul & Benoît Droin,389,other,
Guigal,353,other,
"Domaine de La Romanée-Conti, Vosne-Romanée",317,other,
Dominique Laurent,309,other,
"Moët et Chandon, Épernay",296,other,
Alice et Olivier De Moor,291,other,
Chapoutier,291,other,
"Domaine Faiveley, Nuits-Saint-Georges",286,other,
Amiot-Servelle,274,other,
Louis Latour,269,other,
Pierre-Yves Colin Morey,268,other,
Raveneau,267,other,
Vincent Dauvissat,256,other,
"Domaine Armand Rousseau Père et Fils, Gevrey-Chambertin",253,other,
Penfolds,251,other,
Monteillet,246,other,
"Tenuta San Guido, Bolgheri",244,other,
Lalande-de-Pomerol,241,other,
"Domaine Jean-Louis Chave, Mauves",240,other,
"Vietti, Castiglione Falletto",240,other,
François Villard,237,other,
Peter Sisseck,237,other,
Gramenon,236,other,
Ch. Mouton Rothschild,230,other,
"Domaine Arnoux-Lachaux, Vosne-Romanée",224,other,
Château Mouton Rothschild,214,other,
"Domaine Leflaive, Puligny-Montrachet",211,other,
Georges Roumier,211,other,
Jean-Louis Chave,208,other,
Bachelet-Ramonet,207,other,
Domaine de La Cras - Marc Soyard,205,other,
"Louis Roederer, Reims",204,other,
Tenuta di Biserno,198,other,
Leroy SA,196,other,
"Pessac-Léognan, Cru Classé Blanc",194,other,
"Domaine Sylvain Cathiard, Vosne-Romanée",188,other,
Paul Jaboulet Aîné,188,other,
Tua Rita,186,other,
Vincent Dancer,186,other,
Georges Vernay,185,other,
Joseph Drouhin,185,other,
Bordeaux Blanc,184,other,
"Château de Beaucastel, Courthézon",184,other,
"Jean-Claude Guyaux, Beaune",184,other,
Goisot,183,other,
Bottled in 2002,182,other,
Domaine d'Auvenay,182,other,
Paul Pillot,179,other,
Coche-Dury,177,other,
"Domaine de la Romanée-Conti, Vosne-Romanée",176,other,
Domaine des Croix,175,other,
Les Horées,175,other,
Domaine Méo-Camuzet,173,other,
Schrader Cellars,171,other,
Léon Violland,169,other,
Vincent Girardin,169,other,
Leflaive,168,other,
"Domaine Roy, Fontenay Pres Chablis",166,other,
"Domaine des Comtes Lafon, Meursault",165,other,
Jamet,165,other,
La Vougeraie,164,other,
Fourrier,163,other,
Thibault Liger-Belair,162,other,
Arlaud,161,other,
Lucien Le Moine,160,other,
Bouchard Père & Fils (domaine),159,other,
Comtes de Neipperg,158,other,
Hospices de Beaune,157,other,
Armand Rousseau,156,other,
Dow’s,152,other,
Fronsac,151,other,
Morey-Coffinet,151,other,
Bordeaux Supérieur,150,other,
Pierre Boisson,150,other,
Domaine Georges Mugneret-Gibourg,149,other,
Fattoria Le Pupille,149,other,
Harlan Estate,149,other,
Joseph Drouhin (domaine),149,other,
"Domaine Dujac, Morey-Saint-Denis",147,other,
Dujac,147,other,
"Domaine René Engel, Vosne-Romanée",146,other,
Jacques Prieur,146,other,
Robert Groffier Père & Fils,145,other,
"Domaine François Raveneau, Chablis",142,other,
Domaine Henri Gouges,141,other,
Ghislaine Barthod,141,other,
Blankiet Estate,140,other,
VdP de l'Herault,140,other,
William Fèvre,139,other,
Faiveley,137,other,
Hubert Lignier,137,other,
Benoit Ente,136,other,
Pattes Loup,136,other,
"Ceretto, Alba",134,other,
Yves Cuilleron,134,other,
Chanson,132,other,
"Weingut Keller, Rheinhessen",131,other,
"Domaine de la Vougeraie, Premeaux-Prissey",130,other,
Alvaro Palacios,129,other,
Sylvain Pataille,129,other,
Rapet Père & Fils,128,other,
Clusel-Roch,125,other,
"Domaine Joseph Roty, Gevrey-Chambertin",123,other,
Jean-Claude Bachelet (Domaine),123,other,
Domaine Armand Rousseau,122,other,
Piero Antinori,122,other,
Ponsot ,121,other,
Anne Gros,119,other,
Caroline Morey,119,other,
"Gaja, Barbaresco",119,other,
Leroy (domaine),119,other,
Marchese Antinori,119,other,
Tardieu-Laurent,119,other,
Domaine Moine-Hudelot,118,other,
Domaine de Montille,118,other,
Hubert Lamy,118,other,
Domaine Perrot-Minot,117,other,
Geantet-Pansiot,117,other,
Olivier Leflaive,117,other,
"Mouzon-Leroux, Verzy",116,other,
Domaine Sigaut,115,other,
Domaine de la Janasse,115,other,
"Labet & Dechelette - Château de La Tour, Vougeot",115,other,
"Pauillac, 2nd wine Ch. Latour",115,other,
Gangloff,114,other,
Chateau de Beaucastel,113,other,
Cécile Tremblay,113,other,
Dominus Estate,111,other,
Arnoux-Lachaux,110,other,
Frédéric Magnien,110,other,
"Baronne Philippe de Rothschild & Robert Mondavi, Napa Valley",109,other,
Roulot,109,other,
Saint Préfert,109,other,
"Domaine de Montmain, Villars-Fontaine",108,other,
"Tenuta dell'Ornellaia, Bolgheri",108,other,
"Domaine Denis Mortet, Gevrey-Chambertin",107,other,
Marc Colin,107,other,
Michel Niellon,107,other,
"Domaine Comte Georges de Vogüé, Chambolle-Musigny",106,other,
Emmanuel Rouget,106,other,
Jacques-Frédéric Mugnier,106,other,
Taîn-Hermitage,106,other,
Bottled in 1997,105,other,
Jacky Truchot,105,other,
La Mordorée,104,other,
Lafarge,104,other,
Jérémy Carteret,103,other,
Renaud Boyer,103,other,
Château Lafite Rothschild,102,other,
Laurent Roumier,102,other,
cru classé,102,other,
Bouchard Père & Fils,101,other,
Domaine de la Pousse d'Or,101,other,
"Pauillac, 2nd wine Ch. Lafite Rothschild",101,other,
Château de la Maltroye,100,other,
Philippe Pacalet,100,other,
Bruno Colin,99,other,
Coursodon,99,other,
Dugat-Py,99,other,
Sine Qua Non,99,other,
"Taittinger, Reims",99,other,
Tollot Beaut ,99,other,
"Azienda Agricola Dante Sambuchi, Ronti",98,other,
Henri Boillot,98,other,
Castello dei Rampolla,97,other,
