value,lots,source,keep
Barossa Valley,145188,other,
South Australia,120505,other,
McLaren Vale,99544,other,
Coonawarra,87414,other,
Margaret River,77553,other,
Yarra Valley,54613,other,
Clare Valley,50369,other,
Bourgogne,48644,other,
Hunter Valley,47505,other,
Eden Valley,33951,other,
Barossa,22992,other,
Heathcote,19647,other,
Adelaide Hills,16643,other,
Beechworth,16568,other,
Champagne,16202,other,
Grampians,14834,other,
Pauillac,14214,other,
Pyrenees,14049,other,
Bordeaux,12721,other,
Rhône,12660,other,
Canberra District,12053,other,
Mornington Peninsula,11609,other,
Langhorne Creek,11402,other,
Marlborough,11220,other,
Geelong,10721,other,
Rutherglen,9672,other,
St-Julien,8244,other,
Pomerol,7938,other,
Central Otago,7761,other,
South Gippsland,7657,other,
Barolo DOCG,6903,other,
St-Emilion,6900,other,
Chateauneuf-du-Pape,6672,other,
Tasmania,6345,other,
Western Australia,6272,other,
Gevrey-Chambertin,6259,other,
Sauternes,6242,other,
Great Southern,6156,other,
Riverina,6064,other,
Margaux,5916,other,
Australia,5876,other,
Frankland River,5776,other,
Chablis,5266,other,
Victoria,4978,other,
Macedon Ranges,4754,other,
St-Estephe,4500,other,
Nagambie Lakes,4476,other,
Martinborough,4330,other,
Hawkes Bay,4194,other,
Haut-Medoc,3935,other,
Vosne-Romanee,3628,other,
Nuits-St-Georges,3592,other,
Bendigo,3553,other,
Padthaway,3449,other,
Southern Tasmania,3440,other,
Adelaide,3382,other,
Mudgee,3289,other,
Mosel-Saar-Ruwer,3182,other,
South Eastern Australia,3171,other,
Mount Barker,3151,other,
Chambolle-Musigny,3122,other,
Oporto,3060,other,
Henty,2884,other,
Graves,2849,other,
Cote-Rotie,2841,other,
Northern Tasmania,2693,other,
Chassagne-Montrachet,2635,other,
Sunbury,2585,other,
Puligny-Montrachet,2549,other,
Sauternes-Barsac,2546,other,
King Valley,2516,other,
Cotes-du-Rhone,2398,other,
Hermitage,2331,other,
Volnay,2293,other,
Barbaresco DOCG,2267,other,
Orange,2227,other,
Kangaroo Island,2216,other,
Scotland,2155,other,
Coal River Valley Tasmania,2127,other,
Barolo,2108,other,
Macedon,2080,other,
Pessac-Leognan,2056,other,
Pemberton,1996,other,
Meursault,1952,other,
Toscana IGT,1734,other,
Great Western,1711,other,
Glenrowan,1666,other,
Central Ranges,1653,other,
Brunello di Montalcino DOCG,1638,other,
Bourgogne Rouge,1637,other,
Watervale,1614,other,
Napa Valley,1600,other,
Douro,1595,other,
Multi Area Blend,1587,other,
Echezeaux,1535,other,
Morey-St-Denis,1531,other,
Gippsland,1498,other,
Pommard,1474,other,
Alsace,1411,other,
Goulburn Valley,1401,other,
Lenswood,1365,other,
Beaune,1286,other,
Rioja,1256,other,
Derwent Valley,1242,other,
Limestone Coast,1237,other,
Wrattonbully,1226,other,
Ribera del Duero,1218,other,
Corton,1216,other,
Chambertin,1208,other,
Eastern Tasmania,1193,other,
Corton-Charlemagne,1172,other,
Scozia - Whisky,1156,other,
France,1127,other,
Clos de Vougeot,1112,other,
Chambertin-Clos de Beze,1101,other,
Savigny-les-Beaune,1097,other,
Italy,1090,other,
Milawa,1088,other,
Rheinhessen,1082,other,
Francia - Borgogna,1081,other,
Crozes-Hermitage,1057,other,
Medoc,1054,other,
Langhe DOC,1053,other,
Unknown,1049,other,
Charmes-Chambertin,1033,other,
Coal River Valley,1023,other,
Bourgogne Blanc,1019,other,
Martinborough/Waiparapa,972,other,
Pfalz,972,other,
Cantenac-Margaux,958,other,
Cornas,924,other,
Riverland,920,other,
Hilltops,911,other,
New South Wales,896,other,
Central Victoria,895,other,
Martinborough/Wairarapa,889,other,
Bonnes-Mares,881,other,
Toscana,876,other,
Chianti Classico,867,other,
Francia - Champagne,858,other,
Fleurieu Peninsula,853,other,
Tumbarumba,853,other,
Coonawarra-Kalimna,851,other,
Rheingau,844,other,
Geographe W.A.,843,other,
Vouvray,842,other,
Musigny,831,other,
Ribeauville,793,other,
St-Joseph,787,other,
Francia - Bordeaux,779,other,
Clos de la Roche,741,other,
Piccadilly Valley,734,other,
Japan,727,other,
Granite Belt,723,other,
Grands-Echezeaux,713,other,
Chianti Classico DOCG,712,other,
Romanee-St-Vivant,703,other,
Sancerre,700,other,
Bolgheri DOC,684,other,
Coonawarra-Barossa Valley,681,other,
Central Victorian Mountain Country,680,other,
Vin de Pays d'Oc,674,other,
Murray Darling,665,other,
Toscana  - Super Tuscan,665,other,
Barbaresco,660,other,
Richebourg,654,other,
Cognac,637,other,
Morgon,630,other,
Tamar Valley,618,other,
Batard-Montrachet,615,other,
Piemonte - Barolo,612,other,
Murrumbateman,608,other,
Waipara,606,other,
