value,lots,source,keep
Chardonnay,107,other,
Sangiovese,50,other,
Sauvignon Blanc,44,other,
Marsanne,42,other,
Gruner Veltliner,41,other,
Grillo,40,other,
Syrah,33,other,
Cabernet Franc,29,other,
Primitivo,28,other,
Cabernet Sauvignon,21,other,
Riesling,19,other,
Montepulciano,9,other,
Pinot Noir,7,other,
Petit Verdot,5,other,
Nebbiolo,4,other,
Pinot Gris,4,other,
Savagnin,4,other,
Arneis,3,other,
Barbera,2,other,
Chenin Blanc,2,other,
Saperavi,2,other,
Vermentino,2,other,
Zweigelt,2,other,
Merlot,1,other,
Tempranillo,1,other,
