term,category
whisky,spirit
whiskey,spirit
cognac,spirit
armagnac,spirit
calvados,spirit
grappa,spirit
eau de vie,spirit
eau-de-vie,spirit
brandy,spirit
schnaps,spirit
schnapps,spirit
kirsch,spirit
slivovitz,spirit
aquavit,spirit
vodka,spirit
gin,spirit
rum,spirit
tequila,spirit
mezcal,spirit
hennessy,brand
talisker,brand
macallan,brand
ardbeg,brand
remy martin,brand
johnnie walker,brand
glenfiddich,brand
glenmorangie,brand
laphroaig,brand
lagavulin,brand
balvenie,brand
dalmore,brand
glenlivet,brand
springbank,brand
bowmore,brand
caol ila,brand
glenfarclas,brand
