name,color
Aglianico,red
Agiorgitiko,red
Alicante Bouschet,red
Barbera,red
Blaufränkisch,red
Bobal,red
Cabernet Franc,red
Cabernet Sauvignon,red
Canaiolo Nero,red
Carignan,red
Carménère,red
Cinsaut,red
Colorino,red
Corvina,red
Cornalin,red
Counoise,red
Diolinoir,red
Dolcetto,red
Durif,red
Gaglioppo,red
Gamaret,red
Gamay,red
Garanoir,red
Graciano,red
Grenache,red
Humagne Rouge,red
Lagrein,red
Malbec,red
Mencía,red
Merlot,red
Mondeuse,red
Montepulciano,red
Mourvèdre,red
Nebbiolo,red
Nerello Cappuccio,red
Nerello Mascalese,red
Nero d'Avola,red
Petit Verdot,red
Pinot Meunier,red
Pinot Noir,red
Pinotage,red
Pignolo,red
Poulsard,red
Primitivo,red
Refosco dal Peduncolo Rosso,red
Rondinella,red
Sagrantino,red
Sangiovese,red
Saperavi,red
Schiava,red
Schioppettino,red
St. Laurent,red
Syrah,red
Tannat,red
Tempranillo,red
Teroldego,red
Terret Noir,red
Touriga Franca,red
Touriga Nacional,red
Trincadeira,red
Trousseau,red
Vaccarèse,red
Xinomavro,red
Zweigelt,red
Albariño,white
Aligoté,white
Amigne,white
Arbane,white
Arneis,white
Assyrtiko,white
Bourboulenc,white
Carricante,white
Catarratto,white
Chardonnay,white
Chasselas,white
Chenin Blanc,white
Clairette Blanche,white
Completer,white
Cortese,white
Doral,white
Falanghina,white
Fiano,white
Furmint,white
Garganega,white
Gewürztraminer,white
Godello,white
Greco Bianco,white
Grenache Blanc,white
Grillo,white
Grüner Veltliner,white
Kerner,white
Lafnetscha,white
Macabeo,white
Marsanne,white
Müller-Thurgau,white
Muscadelle,white
Muscat Blanc à Petits Grains,white
Palomino Fino,white
Parellada,white
Pedro Ximénez,white
Petit Meslier,white
Picardan,white
Picpoul Blanc,white
Pinot Blanc,white
Pinot Gris,white
Riesling,white
Rkatsiteli,white
Roussanne,white
Sauvignon Blanc,white
Savagnin,white
Scheurebe,white
Sémillon,white
Sercial,white
Silvaner,white
Timorasso,white
Trebbiano Toscano,white
Ugni Blanc,white
Verdejo,white
Verdelho,white
Vermentino,white
Viognier,white
Xarel·lo,white
