origin_id,country_code,country_de,country_fr,country_en,region_canonical,region_de,region_fr,region_en,appellation_canonical,record_level,appellation_type,legal_scheme,legal_status,source_authority,source_url,legal_basis_url,validated_on,auction_lots_observed,notes_de,notes_fr,notes_en
AR-COUNTRY,AR,Argentinien,Argentine,Argentina,,,,,,country,Country of origin,Country-level origin,country_reference,Instituto Nacional de Vitivinicultura (INV),https://www.argentina.gob.ar/inv,https://www.argentina.gob.ar/normativa/nacional/ley-25163-60510/texto,2026-09-07,34,Länderangabe ohne verlässlich ableitbare Region oder Appellation.,Indication du pays sans région ni appellation pouvant être déduite de manière fiable.,Country indication without a region or appellation that can be derived reliably.
AR-ORI-LUJAN-DE-CUYO,AR,Argentinien,Argentine,Argentina,Mendoza,Mendoza,Mendoza,Mendoza,Luján de Cuyo,appellation,Denominación de Origen,IG/DO,protected_current,Instituto Nacional de Vitivinicultura (INV),https://www.argentina.gob.ar/inv,https://www.argentina.gob.ar/normativa/nacional/ley-25163-60510/texto,2026-09-07,18,Geschützter bzw. regulierter Herkunftsname; der offizielle Eigenname wird nicht übersetzt.,Nom d'origine protégé ou réglementé; le nom propre officiel n'est pas traduit.,Protected or regulated origin name; the official proper name is not translated.
AR-ORI-MENDOZA,AR,Argentinien,Argentine,Argentina,Mendoza,Mendoza,Mendoza,Mendoza,Mendoza,appellation,Indicación Geográfica,IG/DO,protected_current,Instituto Nacional de Vitivinicultura (INV),https://www.argentina.gob.ar/inv,https://www.argentina.gob.ar/normativa/nacional/ley-25163-60510/texto,2026-09-07,542,Geschützter bzw. regulierter Herkunftsname; der offizielle Eigenname wird nicht übersetzt.,Nom d'origine protégé ou réglementé; le nom propre officiel n'est pas traduit.,Protected or regulated origin name; the official proper name is not translated.
AR-ORI-VALLE-DE-UCO,AR,Argentinien,Argentine,Argentina,Mendoza,Mendoza,Mendoza,Mendoza,Valle de Uco,appellation,Indicación Geográfica,IG/DO,protected_current,Instituto Nacional de Vitivinicultura (INV),https://www.argentina.gob.ar/inv,https://www.argentina.gob.ar/normativa/nacional/ley-25163-60510/texto,2026-09-07,121,Geschützter bzw. regulierter Herkunftsname; der offizielle Eigenname wird nicht übersetzt.,Nom d'origine protégé ou réglementé; le nom propre officiel n'est pas traduit.,Protected or regulated origin name; the official proper name is not translated.
AR-ORI-PATAGONIA,AR,Argentinien,Argentine,Argentina,Patagonia,Patagonien,Patagonie,Patagonia,Patagonia,appellation,Indicación Geográfica,IG/DO,protected_current,Instituto Nacional de Vitivinicultura (INV),https://www.argentina.gob.ar/inv,https://www.argentina.gob.ar/normativa/nacional/ley-25163-60510/texto,2026-09-07,37,Geschützter bzw. regulierter Herkunftsname; der offizielle Eigenname wird nicht übersetzt.,Nom d'origine protégé ou réglementé; le nom propre officiel n'est pas traduit.,Protected or regulated origin name; the official proper name is not translated.
AR-ORI-CAFAYATE,AR,Argentinien,Argentine,Argentina,Salta,Salta,Salta,Salta,Cafayate,appellation,Indicación Geográfica,IG/DO,protected_current,Instituto Nacional de Vitivinicultura (INV),https://www.argentina.gob.ar/inv,https://www.argentina.gob.ar/normativa/nacional/ley-25163-60510/texto,2026-09-07,5,Geschützter bzw. regulierter Herkunftsname; der offizielle Eigenname wird nicht übersetzt.,Nom d'origine protégé ou réglementé; le nom propre officiel n'est pas traduit.,Protected or regulated origin name; the official proper name is not translated.
AR-ORI-SALTA,AR,Argentinien,Argentine,Argentina,Salta,Salta,Salta,Salta,Salta,appellation,Indicación Geográfica,IG/DO,protected_current,Instituto Nacional de Vitivinicultura (INV),https://www.argentina.gob.ar/inv,https://www.argentina.gob.ar/normativa/nacional/ley-25163-60510/texto,2026-09-07,10,Geschützter bzw. regulierter Herkunftsname; der offizielle Eigenname wird nicht übersetzt.,Nom d'origine protégé ou réglementé; le nom propre officiel n'est pas traduit.,Protected or regulated origin name; the official proper name is not translated.
AT-COUNTRY,AT,Österreich,Autriche,Austria,,,,,,country,Country of origin,Country-level origin,country_reference,"European Commission, eAmbrosia GI Register",https://ec.europa.eu/agriculture/eambrosia/geographical-indications-register/,https://eur-lex.europa.eu/eli/reg/2024/1143/oj,2026-09-07,121,Länderangabe ohne verlässlich ableitbare Region oder Appellation.,Indication du pays sans région ni appellation pouvant être déduite de manière fiable.,Country indication without a region or appellation that can be derived reliably.
AT-ORI-BURGENLAND,AT,Österreich,Autriche,Austria,Burgenland,Burgenland,Burgenland,Burgenland,Burgenland,appellation,g.U. / EU PDO,EU PDO/PGI,protected_current,"European Commission, eAmbrosia GI Register",https://ec.europa.eu/agriculture/eambrosia/geographical-indications-register/,https://eur-lex.europa.eu/eli/reg/2024/1143/oj,2026-09-07,263,Geschützter bzw. regulierter Herkunftsname; der offizielle Eigenname wird nicht übersetzt.,Nom d'origine protégé ou réglementé; le nom propre officiel n'est pas traduit.,Protected or regulated origin name; the official proper name is not translated.
AT-ORI-EISENBERG,AT,Österreich,Autriche,Austria,Burgenland,Burgenland,Burgenland,Burgenland,Eisenberg,appellation,DAC / EU PDO,EU PDO/PGI,protected_current,"European Commission, eAmbrosia GI Register",https://ec.europa.eu/agriculture/eambrosia/geographical-indications-register/,https://eur-lex.europa.eu/eli/reg/2024/1143/oj,2026-09-07,0,Geschützter bzw. regulierter Herkunftsname; der offizielle Eigenname wird nicht übersetzt.,Nom d'origine protégé ou réglementé; le nom propre officiel n'est pas traduit.,Protected or regulated origin name; the official proper name is not translated.
AT-ORI-LEITHABERG,AT,Österreich,Autriche,Austria,Burgenland,Burgenland,Burgenland,Burgenland,Leithaberg,appellation,DAC / EU PDO,EU PDO/PGI,protected_current,"European Commission, eAmbrosia GI Register",https://ec.europa.eu/agriculture/eambrosia/geographical-indications-register/,https://eur-lex.europa.eu/eli/reg/2024/1143/oj,2026-09-07,1,Geschützter bzw. regulierter Herkunftsname; der offizielle Eigenname wird nicht übersetzt.,Nom d'origine protégé ou réglementé; le nom propre officiel n'est pas traduit.,Protected or regulated origin name; the official proper name is not translated.
AT-ORI-MITTELBURGENLAND,AT,Österreich,Autriche,Austria,Burgenland,Burgenland,Burgenland,Burgenland,Mittelburgenland,appellation,DAC / EU PDO,EU PDO/PGI,protected_current,"European Commission, eAmbrosia GI Register",https://ec.europa.eu/agriculture/eambrosia/geographical-indications-register/,https://eur-lex.europa.eu/eli/reg/2024/1143/oj,2026-09-07,32,Geschützter bzw. regulierter Herkunftsname; der offizielle Eigenname wird nicht übersetzt.,Nom d'origine protégé ou réglementé; le nom propre officiel n'est pas traduit.,Protected or regulated origin name; the official proper name is not translated.
AT-ORI-NEUSIEDLERSEE,AT,Österreich,Autriche,Austria,Burgenland,Burgenland,Burgenland,Burgenland,Neusiedlersee,appellation,DAC / EU PDO,EU PDO/PGI,protected_current,"European Commission, eAmbrosia GI Register",https://ec.europa.eu/agriculture/eambrosia/geographical-indications-register/,https://eur-lex.europa.eu/eli/reg/2024/1143/oj,2026-09-07,84,Geschützter bzw. regulierter Herkunftsname; der offizielle Eigenname wird nicht übersetzt.,Nom d'origine protégé ou réglementé; le nom propre officiel n'est pas traduit.,Protected or regulated origin name; the official proper name is not translated.
AT-ORI-ROSALIA,AT,Österreich,Autriche,Austria,Burgenland,Burgenland,Burgenland,Burgenland,Rosalia,appellation,DAC / EU PDO,EU PDO/PGI,protected_current,"European Commission, eAmbrosia GI Register",https://ec.europa.eu/agriculture/eambrosia/geographical-indications-register/,https://eur-lex.europa.eu/eli/reg/2024/1143/oj,2026-09-07,0,Geschützter bzw. regulierter Herkunftsname; der offizielle Eigenname wird nicht übersetzt.,Nom d'origine protégé ou réglementé; le nom propre officiel n'est pas traduit.,Protected or regulated origin name; the official proper name is not translated.
AT-ORI-RUSTER-AUSBRUCH,AT,Österreich,Autriche,Austria,Burgenland,Burgenland,Burgenland,Burgenland,Ruster Ausbruch,appellation,DAC / EU PDO,EU PDO/PGI,protected_current,"European Commission, eAmbrosia GI Register",https://ec.europa.eu/agriculture/eambrosia/geographical-indications-register/,https://eur-lex.europa.eu/eli/reg/2024/1143/oj,2026-09-07,0,Geschützter bzw. regulierter Herkunftsname; der offizielle Eigenname wird nicht übersetzt.,Nom d'origine protégé ou réglementé; le nom propre officiel n'est pas traduit.,Protected or regulated origin name; the official proper name is not translated.
AT-ORI-CARNUNTUM,AT,Österreich,Autriche,Austria,Niederösterreich,Niederösterreich,Basse-Autriche,Lower Austria,Carnuntum,appellation,DAC / EU PDO,EU PDO/PGI,protected_current,"European Commission, eAmbrosia GI Register",https://ec.europa.eu/agriculture/eambrosia/geographical-indications-register/,https://eur-lex.europa.eu/eli/reg/2024/1143/oj,2026-09-07,3,Geschützter bzw. regulierter Herkunftsname; der offizielle Eigenname wird nicht übersetzt.,Nom d'origine protégé ou réglementé; le nom propre officiel n'est pas traduit.,Protected or regulated origin name; the official proper name is not translated.
AT-ORI-KAMPTAL,AT,Österreich,Autriche,Austria,Niederösterreich,Niederösterreich,Basse-Autriche,Lower Austria,Kamptal,appellation,DAC / EU PDO,EU PDO/PGI,protected_current,"European Commission, eAmbrosia GI Register",https://ec.europa.eu/agriculture/eambrosia/geographical-indications-register/,https://eur-lex.europa.eu/eli/reg/2024/1143/oj,2026-09-07,165,Geschützter bzw. regulierter Herkunftsname; der offizielle Eigenname wird nicht übersetzt.,Nom d'origine protégé ou réglementé; le nom propre officiel n'est pas traduit.,Protected or regulated origin name; the official proper name is not translated.
AT-ORI-KREMSTAL,AT,Österreich,Autriche,Austria,Niederösterreich,Niederösterreich,Basse-Autriche,Lower Austria,Kremstal,appellation,DAC / EU PDO,EU PDO/PGI,protected_current,"European Commission, eAmbrosia GI Register",https://ec.europa.eu/agriculture/eambrosia/geographical-indications-register/,https://eur-lex.europa.eu/eli/reg/2024/1143/oj,2026-09-07,142,Geschützter bzw. regulierter Herkunftsname; der offizielle Eigenname wird nicht übersetzt.,Nom d'origine protégé ou réglementé; le nom propre officiel n'est pas traduit.,Protected or regulated origin name; the official proper name is not translated.
AT-ORI-THERMENREGION,AT,Österreich,Autriche,Austria,Niederösterreich,Niederösterreich,Basse-Autriche,Lower Austria,Thermenregion,appellation,DAC / EU PDO,EU PDO/PGI,protected_current,"European Commission, eAmbrosia GI Register",https://ec.europa.eu/agriculture/eambrosia/geographical-indications-register/,https://eur-lex.europa.eu/eli/reg/2024/1143/oj,2026-09-07,11,Geschützter bzw. regulierter Herkunftsname; der offizielle Eigenname wird nicht übersetzt.,Nom d'origine protégé ou réglementé; le nom propre officiel n'est pas traduit.,Protected or regulated origin name; the official proper name is not translated.
AT-ORI-TRAISENTAL,AT,Österreich,Autriche,Austria,Niederösterreich,Niederösterreich,Basse-Autriche,Lower Austria,Traisental,appellation,DAC / EU PDO,EU PDO/PGI,protected_current,"European Commission, eAmbrosia GI Register",https://ec.europa.eu/agriculture/eambrosia/geographical-indications-register/,https://eur-lex.europa.eu/eli/reg/2024/1143/oj,2026-09-07,0,Geschützter bzw. regulierter Herkunftsname; der offizielle Eigenname wird nicht übersetzt.,Nom d'origine protégé ou réglementé; le nom propre officiel n'est pas traduit.,Protected or regulated origin name; the official proper name is not translated.
AT-ORI-WACHAU,AT,Österreich,Autriche,Austria,Niederösterreich,Niederösterreich,Basse-Autriche,Lower Austria,Wachau,appellation,DAC / EU PDO,EU PDO/PGI,protected_current,"European Commission, eAmbrosia GI Register",https://ec.europa.eu/agriculture/eambrosia/geographical-indications-register/,https://eur-lex.europa.eu/eli/reg/2024/1143/oj,2026-09-07,332,Geschützter bzw. regulierter Herkunftsname; der offizielle Eigenname wird nicht übersetzt.,Nom d'origine protégé ou réglementé; le nom propre officiel n'est pas traduit.,Protected or regulated origin name; the official proper name is not translated.
AT-ORI-WAGRAM,AT,Österreich,Autriche,Austria,Niederösterreich,Niederösterreich,Basse-Autriche,Lower Austria,Wagram,appellation,DAC / EU PDO,EU PDO/PGI,protected_current,"European Commission, eAmbrosia GI Register",https://ec.europa.eu/agriculture/eambrosia/geographical-indications-register/,https://eur-lex.europa.eu/eli/reg/2024/1143/oj,2026-09-07,2,Geschützter bzw. regulierter Herkunftsname; der offizielle Eigenname wird nicht übersetzt.,Nom d'origine protégé ou réglementé; le nom propre officiel n'est pas traduit.,Protected or regulated origin name; the official proper name is not translated.
